№,Project Name,Website / github / demo,Main Category,Year,Stage,One Line Description,Email,Twitter,GitHub Rep
1,Vapi,https://vapi.ai,AI & Agents,2024,Series A,"Platform to build, test, and deploy voice agents",support@vapi.ai,https://x.com/Vapi_AI,https://github.com/VapiAI/server-sdk-typescript
2,Emdash,https://emdash.sh,Developer Tools,2025,,Open source desktop environment for running multiple coding agents in parallel,founders@emdash.sh,https://x.com/emdashsh,https://github.com/generalaction/emdash
3,pay3,https://pay3.so,Crypto,2026,,Single username and link for direct wallet to wallet crypto payments,support@pay3.so,https://x.com/pay3so,
4,Walme Wallet,https://walme.io,Crypto,2026,Pre-Seed,"Unified Web3 wallet hub for wallets, watch only wallets, and exchange accounts",support@walme.io,https://x.com/walme_io,https://github.com/walme-io
5,BlindPay,https://blindpay.com,Crypto,2024,Seed,Stablecoin API for global payments and cross border money movement,founders@blindpay.com,https://x.com/blindpay,https://github.com/blindpaylabs
6,TxGemma,https://deepmind.google/models/gemma/txgemma/,Biotech,2025,,Open model specialized for therapeutics development,,https://x.com/googledeepmind,https://github.com/google-deepmind
7,Aero Hand Open,https://tetheria.ai/,Robotics,2025,,"Open source dexterous robotic hand for research, education, and prototyping",contact@tetheria.ai,https://x.com/tetheria_ai,https://github.com/TetherIA
8,Tasklet,https://tasklet.ai,AI & Agents,2025,,"AI agents for automating business processes across APIs, MCP servers, and cloud computers",mlatman@gmail.com,https://x.com/taskletai,
9,Kombai,https://kombai.com,AI & Agents,2023,Seed,AI agent focused on real world frontend implementation tasks,support@kombai.com,https://x.com/Kombaico,
10,Typeless,https://www.typeless.com,AI & Agents,2025,,"AI voice dictation tool that turns natural speech into polished messages, emails, and documents in real time",hello@typeless.com,https://x.com/typelessdotcom,
11,BrowserOS,https://browseros.com,AI & Agents,2024,,Open source agentic browser for running AI agents locally,founders@browseros.com,https://x.com/browseros_ai,https://github.com/browseros-ai/BrowserOS
12,Valora,https://valora.xyz,Crypto,2021,,App for sending money globally with simple mobile UX,legal@clabs.co,https://x.com/valora,
13,Flooz,https://flooz.xyz,Crypto,2022,,"All in one crypto wallet for tokens, NFTs, and swaps",privacy@flooz.xyz,https://x.com/flooz_xyz,
14,Mint Club,https://mint.club,Crypto,2021,,No code platform for launching tokens with instant liquidity,admin@hunt.town,https://twitter.com/MintClubPro,https://github.com/Steemhunt/mint.club-v2-contract
15,Tienda Crypto,https://www.tiendacrypto.com,Crypto,2020,Seed,Crypto exchange and payment API gateway focused on Latin America,info@tiendacrypto.com,https://x.com/tiendacrypto,
16,Kilo Code,https://kilo.ai,AI & Agents,2025,,"Open source AI coding assistant for planning, building, and fixing code",support@kilo.ai,https://x.com/kilocode,https://github.com/Kilo-Org/kilocode
17,Zencoder,https://zencoder.ai,AI & Agents,2025,,"AI coding agent with integrations, CI deployment, and team level workflows",support@zencoder.ai,https://x.com/zencoderai,https://github.com/zencoderai/zenagents-library
18,Polar,https://polar.sh,Developer Tools,2024,,Open source monetization platform for developers and OSS maintainers,support@polar.sh,https://x.com/polar_sh,https://github.com/polarsource/polar
19,Notte,https://www.notte.cc,AI & Agents,2025,Pre-Seed,Platform to build and deploy enterprise grade browser agents,hello@notte.cc,https://x.com/nottecore,https://github.com/nottelabs/notte
20,21st.dev,https://21st.dev,Developer Tools,2024,Seed,Infrastructure and UI building blocks for agent powered apps,founders@21st.dev,https://x.com/21st_dev,
21,Sourcebot,https://www.sourcebot.dev,Developer Tools,2024,,Open source code understanding platform for humans and AI agents,team@sourcebot.dev,https://x.com/sourcebot_dev,https://github.com/sourcebot-dev/sourcebot
22,Reap Pay,https://reap.global/,Crypto,2023,,"Business payments platform supporting cards, bank transfers, and stablecoins",support@reapglobal.co,https://x.com/reapglobal,
23,NOWPayments,https://nowpayments.io,Crypto,2024,,"Non custodial crypto payment processor for websites, stores, and social channels",support@nowpayments.io,https://x.com/NOWPayments_io,https://github.com/nowpaymentsIO
24,AI Agent Platform by CometChat,https://www.cometchat.com,AI & Agents,2026,,Full stack platform for embedding AI copilots and assistants into apps and websites,privacy@cometchat.com,https://x.com/CometChat,https://github.com/cometchat
25,Manus,https://manus.im,AI & Agents,2025,,General AI agent that turns thoughts into actions across work and life tasks,contact@manus.im,https://x.com/manusai,
26,Metal Pay,https://www.metalpay.com/,Crypto,2017,,"Wallet and exchange app for buying, sending, and recurring crypto purchases",help@metalpay.com,https://x.com/metalpaysme,
27,Unitree G1,https://www.unitree.com,Robotics,2025,,Humanoid robot platform with flexible joints and optional dexterous hands,marketing@unitree.com,https://x.com/unitreerobotics,https://github.com/unitreerobotics
28,Genspark,https://www.genspark.ai,AI & Agents,2025,,AI agent search engine that generates custom research pages,press@genspark.ai,https://x.com/genspark_ai,
29,Theya,https://theya.us/,Crypto,2025,,Bitcoin self custody wallet platform,support@theya.us,https://x.com/TheyaBitcoin,
30,Burner,https://burner.pro,Crypto,2024,,Low cost wallet designed for gifting crypto and simple storage,hello@burner.pro,https://x.com/useburner,
31,Cumbuca,https://www.cumbuca.com/,Crypto,2025,,Payments infrastructure product in Brazil with a stablecoin and merchant angle,privacidade@cumbuca.com,https://x.com/appcumbuca,
32,Hyperspell,https://hyperspell.com,AI & Agents,2024,Pre-Seed,Memory layer for AI agents across work tools and knowledge apps,conor@hyperspell.com,https://x.com/hyperspell,https://github.com/hyperspell
33,Merge,https://merge.dev,Developer Tools,2022,,Unified API platform for customer facing integrations and agent tool access,hello@merge.dev,https://x.com/merge_api,https://github.com/merge-api
34,K Scale Labs,https://kscale.dev/,Robotics,2024,,Open source humanoid robotics company building general purpose robots,ben@kscale.dev,https://x.com/Scobleizer,https://github.com/kscalelabs
35,OpenClaw,https://openclaw.ai/,AI & Agents,2026,,"Open source personal AI agent with browser control, shell access, file management, and automations",security@openclaw.ai,https://x.com/openclaw,https://github.com/openclaw/openclaw
36,Happycapy,https://happycapy.ai,AI & Agents,2022,,Browser based agent native computer for everyday users and builders,support@happycapy.ai,https://x.com/happycapyai,https://github.com/happycapy-ai/Happycapy-skills
37,ClawApp,https://clawapp.saharaai.com/,AI & Agents,2026,,"Local desktop app that simplifies installing, configuring, and operating OpenClaw",team@saharalabs.ai,https://x.com/saharaai,https://github.com/SaharaLabsAI/Claw_app
38,Hex,https://hex.tech,Developer Tools,2024,,"Agentic analytics platform for data teams, notebooks, apps, and conversational workflows",support@hex.tech,https://x.com/_hex_tech,
39,Dedalus Labs,https://www.dedaluslabs.ai,Developer Tools,2025,Seed,Cloud platform and SDK for connecting models to MCP servers and shipping hosted agents,support@dedaluslabs.ai,https://x.com/dedaluslabs,https://github.com/dedalus-labs/dedalus-sdk-python
40,AgentMail,https://agentmail.to,AI & Agents,2025,Seed,Email inbox API that gives AI agents fully managed persistent inboxes,founders@agentmail.cc,https://x.com/agentmail,https://github.com/agentmail-to
41,Conductor,https://conductor.build,Developer Tools,2024,,Local interface for running teams of coding agents in parallel on a Mac,founders@melty.sh,https://x.com/conductor_build,https://github.com/meltylabs
42,Nozomio,https://www.trynia.ai/,AI & Agents,2025,Pre-Seed,"Context retrieval and indexing API for docs, codebases, datasets, and research papers",arlan@nozomio.com,https://x.com/nozomioai,https://github.com/nozomio-labs
43,Browser Cash,https://browser.cash/developers,AI & Agents,2025,,"Browser automation platform for AI agents, scraping, and internet intelligence",alex@driver.dev,https://x.com/aibrowsers,
44,ARQ,https://www.dolarapp.com/,Crypto,2021,,Cross border finance and dollar access product with crypto rails,help@arqfinance.com,https://x.com/arq_finance,
